activity_id,athlete_id,activity_date,week_number,days_before_race,activity_type,distance_km,duration_min,pace_min_per_km,avg_heart_rate,max_heart_rate,elevation_gain_m,calories,weekly_km,weekly_duration_min,weekly_run_count,weekly_avg_pace,weekly_avg_hr,weekly_elevation_gain_m,longest_run_km,rolling_4w_km,avg_weekly_km_last_4w,active_weeks_last_4w,rolling_4w_duration_min,athlete_profile,training_scenario,sex,age,estimated_max_hr,source,race_10k_finish_time_min,race_10k_finish_time_seconds,race_10k_finish_time_hhmmss,race_10k_pace_min_per_km
ACT000011,A001,2026-01-27,4,69,easy_run,13.66,69.69,5.1,149,171,72.6,940,61.93,319.24,5.0,5.155189730340708,141.6,252.7,21.48,194.32,48.58,4.0,1012.61,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000012,A001,2026-01-29,4,67,recovery_run,2.11,12.29,5.83,119,131,3.9,134,61.93,319.24,5.0,5.155189730340708,141.6,252.7,21.48,194.32,48.58,4.0,1012.61,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000013,A001,2026-01-31,4,65,easy_run,3.8,19.98,5.26,135,147,35.1,279,61.93,319.24,5.0,5.155189730340708,141.6,252.7,21.48,194.32,48.58,4.0,1012.61,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000014,A001,2026-02-01,4,64,long_run,20.88,114.63,5.49,136,154,19.7,1577,61.93,319.24,5.0,5.155189730340708,141.6,252.7,21.48,194.32,48.58,4.0,1012.61,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000015,A001,2026-02-02,5,63,tempo_run,4.98,23.78,4.78,166,175,15.5,332,45.93,239.53,4.0,5.215416938819943,148.0,361.3,20.46,191.95,47.9875,4.0,991.79,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000016,A001,2026-02-03,5,62,recovery_run,4.81,26.64,5.53,123,141,4.6,323,45.93,239.53,4.0,5.215416938819943,148.0,361.3,20.46,191.95,47.9875,4.0,991.79,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000017,A001,2026-02-06,5,59,tempo_run,20.46,103.54,5.06,152,169,153.8,1406,45.93,239.53,4.0,5.215416938819943,148.0,361.3,20.46,191.95,47.9875,4.0,991.79,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000018,A001,2026-02-08,5,57,hill_run,15.68,85.57,5.46,151,160,187.4,975,45.93,239.53,4.0,5.215416938819943,148.0,361.3,20.46,191.95,47.9875,4.0,991.79,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000019,A001,2026-02-10,6,55,tempo_run,13.13,62.75,4.78,162,180,2.9,1011,60.519999999999996,323.76,5.0,5.3500280898876404,147.0,429.3,23.77,208.51,52.1275,4.0,1090.6299999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000020,A001,2026-02-11,6,54,easy_run,2.0,10.03,5.01,140,153,21.3,140,60.519999999999996,323.76,5.0,5.3500280898876404,147.0,429.3,23.77,208.51,52.1275,4.0,1090.6299999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000021,A001,2026-02-13,6,52,easy_run,14.33,79.73,5.56,150,163,115.4,1108,60.519999999999996,323.76,5.0,5.3500280898876404,147.0,429.3,23.77,208.51,52.1275,4.0,1090.6299999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000022,A001,2026-02-14,6,51,easy_run,7.29,38.94,5.34,136,147,73.8,468,60.519999999999996,323.76,5.0,5.3500280898876404,147.0,429.3,23.77,208.51,52.1275,4.0,1090.6299999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000023,A001,2026-02-15,6,50,long_run,23.77,132.31,5.57,147,169,215.9,1803,60.519999999999996,323.76,5.0,5.3500280898876404,147.0,429.3,23.77,208.51,52.1275,4.0,1090.6299999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000024,A001,2026-02-16,7,49,easy_run,33.76,176.49,5.23,143,165,234.9,2365,61.5,329.0,4.0,5.351573983739837,137.25,386.0,33.76,229.88,57.47,4.0,1211.53,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000025,A001,2026-02-19,7,46,easy_run,6.4,34.58,5.4,142,156,98.7,541,61.5,329.0,4.0,5.351573983739837,137.25,386.0,33.76,229.88,57.47,4.0,1211.53,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000026,A001,2026-02-20,7,45,easy_run,2.0,10.66,5.33,148,171,17.4,153,61.5,329.0,4.0,5.351573983739837,137.25,386.0,33.76,229.88,57.47,4.0,1211.53,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000027,A001,2026-02-22,7,43,recovery_run,19.34,107.27,5.55,116,137,35.0,1393,61.5,329.0,4.0,5.351573983739837,137.25,386.0,33.76,229.88,57.47,4.0,1211.53,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000028,A001,2026-02-23,8,42,tempo_run,24.1,115.16,4.78,168,180,133.2,1774,65.89,341.02,5.0,5.176155714068903,139.4,440.5,24.1,233.84,58.46,4.0,1233.31,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000029,A001,2026-02-25,8,40,recovery_run,16.14,88.44,5.48,111,122,70.4,1381,65.89,341.02,5.0,5.176155714068903,139.4,440.5,24.1,233.84,58.46,4.0,1233.31,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000030,A001,2026-02-26,8,39,easy_run,2.0,10.29,5.14,128,147,22.2,131,65.89,341.02,5.0,5.176155714068903,139.4,440.5,24.1,233.84,58.46,4.0,1233.31,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000031,A001,2026-02-27,8,38,easy_run,3.28,17.72,5.41,140,150,46.1,247,65.89,341.02,5.0,5.176155714068903,139.4,440.5,24.1,233.84,58.46,4.0,1233.31,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000032,A001,2026-03-01,8,36,long_run,20.37,109.41,5.37,150,166,168.6,1309,65.89,341.02,5.0,5.176155714068903,139.4,440.5,24.1,233.84,58.46,4.0,1233.31,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000033,A001,2026-03-02,9,35,tempo_run,6.49,31.02,4.78,167,180,19.3,532,64.8,328.86,5.0,5.075200617283951,159.4,767.5999999999999,20.35,252.70999999999998,63.177499999999995,4.0,1322.6399999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000034,A001,2026-03-04,9,33,interval_run,13.58,64.89,4.78,167,177,151.6,832,64.8,328.86,5.0,5.075200617283951,159.4,767.5999999999999,20.35,252.70999999999998,63.177499999999995,4.0,1322.6399999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000035,A001,2026-03-06,9,31,interval_run,15.95,76.21,4.78,161,170,399.2,1096,64.8,328.86,5.0,5.075200617283951,159.4,767.5999999999999,20.35,252.70999999999998,63.177499999999995,4.0,1322.6399999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000036,A001,2026-03-07,9,30,tempo_run,8.43,40.29,4.78,163,174,63.5,548,64.8,328.86,5.0,5.075200617283951,159.4,767.5999999999999,20.35,252.70999999999998,63.177499999999995,4.0,1322.6399999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000037,A001,2026-03-08,9,29,long_run,20.35,116.45,5.72,139,162,134.0,1280,64.8,328.86,5.0,5.075200617283951,159.4,767.5999999999999,20.35,252.70999999999998,63.177499999999995,4.0,1322.6399999999999,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000038,A001,2026-03-09,10,28,easy_run,10.13,53.44,5.27,135,148,27.0,851,65.07,346.84999999999997,5.0,5.329658828953435,141.0,529.2,19.44,257.26,64.315,4.0,1345.73,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000039,A001,2026-03-10,10,27,easy_run,3.98,21.83,5.49,130,152,34.5,302,65.07,346.84999999999997,5.0,5.329658828953435,141.0,529.2,19.44,257.26,64.315,4.0,1345.73,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000040,A001,2026-03-11,10,26,easy_run,17.33,89.55,5.17,135,152,233.7,1449,65.07,346.84999999999997,5.0,5.329658828953435,141.0,529.2,19.44,257.26,64.315,4.0,1345.73,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000041,A001,2026-03-12,10,25,hill_run,14.19,75.57,5.33,165,180,90.7,1210,65.07,346.84999999999997,5.0,5.329658828953435,141.0,529.2,19.44,257.26,64.315,4.0,1345.73,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000042,A001,2026-03-15,10,22,long_run,19.44,106.46,5.47,140,148,143.3,1412,65.07,346.84999999999997,5.0,5.329658828953435,141.0,529.2,19.44,257.26,64.315,4.0,1345.73,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000043,A001,2026-03-16,11,21,easy_run,16.83,88.48,5.26,137,158,278.8,1151,55.37,293.48,5.0,5.300762145566191,138.0,497.6,16.83,251.13,62.7825,4.0,1310.21,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000044,A001,2026-03-19,11,18,easy_run,4.98,26.27,5.28,141,150,42.5,404,55.37,293.48,5.0,5.300762145566191,138.0,497.6,16.83,251.13,62.7825,4.0,1310.21,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000045,A001,2026-03-20,11,17,easy_run,7.18,37.85,5.27,132,155,12.7,508,55.37,293.48,5.0,5.300762145566191,138.0,497.6,16.83,251.13,62.7825,4.0,1310.21,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000046,A001,2026-03-21,11,16,easy_run,11.66,61.8,5.3,131,142,86.3,896,55.37,293.48,5.0,5.300762145566191,138.0,497.6,16.83,251.13,62.7825,4.0,1310.21,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000047,A001,2026-03-22,11,15,long_run,14.72,79.08,5.37,149,165,77.3,1017,55.37,293.48,5.0,5.300762145566191,138.0,497.6,16.83,251.13,62.7825,4.0,1310.21,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000048,A001,2026-03-24,12,13,easy_run,6.2,32.18,5.19,129,144,30.8,385,72.25999999999999,385.82,5.0,5.339313589814558,140.4,480.8,28.54,257.5,64.375,4.0,1355.01,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000049,A001,2026-03-25,12,12,easy_run,28.54,157.51,5.52,138,150,139.5,1739,72.25999999999999,385.82,5.0,5.339313589814558,140.4,480.8,28.54,257.5,64.375,4.0,1355.01,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000050,A001,2026-03-26,12,11,interval_run,7.61,36.38,4.78,165,178,72.4,624,72.25999999999999,385.82,5.0,5.339313589814558,140.4,480.8,28.54,257.5,64.375,4.0,1355.01,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000051,A001,2026-03-27,12,10,easy_run,8.61,42.38,4.92,134,145,62.1,535,72.25999999999999,385.82,5.0,5.339313589814558,140.4,480.8,28.54,257.5,64.375,4.0,1355.01,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000052,A001,2026-03-29,12,8,long_run,21.3,117.37,5.51,136,146,176.0,1313,72.25999999999999,385.82,5.0,5.339313589814558,140.4,480.8,28.54,257.5,64.375,4.0,1355.01,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000053,A001,2026-03-30,13,7,easy_run,9.59,52.22,5.44,122,130,35.1,755,31.39,167.66,4.0,5.342325581395349,137.25,98.60000000000001,9.59,224.08999999999997,56.022499999999994,4.0,1193.8100000000002,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000054,A001,2026-03-31,13,6,easy_run,8.42,45.25,5.38,138,148,18.1,620,31.39,167.66,4.0,5.342325581395349,137.25,98.60000000000001,9.59,224.08999999999997,56.022499999999994,4.0,1193.8100000000002,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000055,A001,2026-04-02,13,4,easy_run,5.42,28.83,5.32,149,159,38.1,403,31.39,167.66,4.0,5.342325581395349,137.25,98.60000000000001,9.59,224.08999999999997,56.022499999999994,4.0,1193.8100000000002,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000056,A001,2026-04-05,13,1,easy_run,7.96,41.36,5.2,140,158,7.3,604,31.39,167.66,4.0,5.342325581395349,137.25,98.60000000000001,9.59,224.08999999999997,56.022499999999994,4.0,1193.8100000000002,intermediate,progressive_build,M,22,180,synthetic_v1,45.89,2754.0,00:45:54,4.59
ACT000057,A002,2026-01-08,1,88,tempo_run,8.77,64.66,7.37,129,144,7.2,541,13.12,97.58,2.0,7.439626524390245,127.0,25.8,8.77,13.12,13.12,1.0,97.58,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000058,A002,2026-01-11,1,85,easy_run,4.35,32.92,7.58,125,134,18.6,308,13.12,97.58,2.0,7.439626524390245,127.0,25.8,8.77,13.12,13.12,1.0,97.58,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000059,A002,2026-01-14,2,82,easy_run,3.62,29.33,8.11,111,129,8.8,253,13.370000000000001,109.12,3.0,8.16829468960359,111.33333333333333,76.80000000000001,4.89,26.490000000000002,13.245000000000001,2.0,206.7,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000060,A002,2026-01-15,2,81,easy_run,4.86,39.85,8.21,110,125,27.3,310,13.370000000000001,109.12,3.0,8.16829468960359,111.33333333333333,76.80000000000001,4.89,26.490000000000002,13.245000000000001,2.0,206.7,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000061,A002,2026-01-18,2,78,long_run,4.89,39.94,8.17,113,125,40.7,358,13.370000000000001,109.12,3.0,8.16829468960359,111.33333333333333,76.80000000000001,4.89,26.490000000000002,13.245000000000001,2.0,206.7,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000062,A002,2026-01-25,3,71,easy_run,14.2,111.63,7.86,114,130,40.1,809,14.2,111.63,1.0,7.86,114.0,40.1,14.2,40.69,13.563333333333333,3.0,318.33,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000063,A002,2026-01-26,4,70,easy_run,8.9,71.33,8.02,110,131,27.2,563,13.190000000000001,106.75999999999999,2.0,8.09805913570887,114.5,89.0,8.9,53.88,13.47,4.0,425.09,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000064,A002,2026-02-01,4,64,easy_run,4.29,35.43,8.26,119,135,61.8,244,13.190000000000001,106.75999999999999,2.0,8.09805913570887,114.5,89.0,8.9,53.88,13.47,4.0,425.09,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000065,A002,2026-02-02,5,63,easy_run,8.58,71.69,8.35,112,123,46.7,480,12.36,102.5,2.0,8.285776699029126,114.0,75.0,8.58,53.120000000000005,13.280000000000001,4.0,430.01,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000066,A002,2026-02-08,5,57,easy_run,3.78,30.81,8.14,116,132,28.3,270,12.36,102.5,2.0,8.285776699029126,114.0,75.0,8.58,53.120000000000005,13.280000000000001,4.0,430.01,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000067,A002,2026-02-14,6,51,easy_run,7.8,61.19,7.85,113,133,179.1,552,7.8,61.19,1.0,7.85,113.0,179.1,7.8,47.55,11.8875,4.0,382.08,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000068,A002,2026-02-24,8,41,easy_run,4.55,36.05,7.92,115,125,24.4,335,4.55,36.05,1.0,7.920000000000001,115.0,24.4,4.55,24.709999999999997,6.177499999999999,3.0,199.74,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000069,A002,2026-03-04,9,33,easy_run,2.71,22.02,8.14,118,128,26.6,146,2.71,22.02,1.0,8.14,118.0,26.6,2.71,15.059999999999999,3.7649999999999997,3.0,119.25999999999999,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000070,A002,2026-03-12,10,25,easy_run,6.79,55.63,8.19,116,130,37.8,423,11.370000000000001,92.78999999999999,2.0,8.161802990325418,116.5,73.1,6.79,18.63,4.6575,3.0,150.85999999999999,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000071,A002,2026-03-15,10,22,easy_run,4.58,37.16,8.12,117,135,35.3,264,11.370000000000001,92.78999999999999,2.0,8.161802990325418,116.5,73.1,6.79,18.63,4.6575,3.0,150.85999999999999,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000072,A002,2026-03-21,11,16,easy_run,12.08,97.45,8.07,111,123,90.7,698,12.08,97.45,1.0,8.07,111.0,90.7,12.08,30.71,7.6775,4.0,248.31,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000073,A002,2026-03-24,12,13,easy_run,14.28,109.46,7.66,112,125,185.9,978,14.28,109.46,1.0,7.66,112.0,185.9,14.28,40.44,10.11,4.0,321.71999999999997,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000074,A002,2026-04-05,13,1,easy_run,6.86,56.22,8.2,119,135,65.8,416,6.86,56.22,1.0,8.2,119.0,65.8,6.86,44.589999999999996,11.147499999999999,4.0,355.91999999999996,beginner,minor_injury,F,44,170,synthetic_v1,72.95,4377.0,01:12:57,7.3
ACT000075,A003,2026-01-09,1,87,easy_run,25.68,213.34,8.31,119,140,323.3,1568,25.68,213.34,1.0,8.31,119.0,323.3,25.68,25.68,25.68,1.0,213.34,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000076,A003,2026-01-14,2,82,easy_run,20.27,166.5,8.21,117,131,24.1,1313,20.27,166.5,1.0,8.21,117.0,24.1,20.27,45.95,22.975,2.0,379.84000000000003,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000077,A003,2026-01-21,3,75,easy_run,14.59,118.35,8.11,124,133,122.1,1005,26.22,214.32,3.0,8.173207475209763,118.66666666666667,169.89999999999998,14.59,72.17,24.05666666666667,3.0,594.16,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000078,A003,2026-01-23,3,73,easy_run,5.27,43.97,8.34,116,136,8.4,376,26.22,214.32,3.0,8.173207475209763,118.66666666666667,169.89999999999998,14.59,72.17,24.05666666666667,3.0,594.16,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000079,A003,2026-01-25,3,71,easy_run,6.36,52.0,8.18,116,126,39.4,411,26.22,214.32,3.0,8.173207475209763,118.66666666666667,169.89999999999998,14.59,72.17,24.05666666666667,3.0,594.16,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000080,A003,2026-01-26,4,70,easy_run,23.12,190.25,8.23,115,123,108.6,1505,23.12,190.25,1.0,8.23,115.0,108.6,23.12,95.28999999999999,23.822499999999998,4.0,784.41,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000081,A003,2026-02-03,5,62,easy_run,20.78,168.44,8.1,109,128,127.1,1529,20.78,168.44,1.0,8.1,109.0,127.1,20.78,90.38999999999999,22.597499999999997,4.0,739.51,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000082,A003,2026-02-11,6,54,easy_run,14.98,125.85,8.4,109,124,95.1,1280,21.52,178.3,2.0,8.281477695167286,113.5,110.89999999999999,14.98,91.64,22.91,4.0,751.31,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000083,A003,2026-02-15,6,50,easy_run,6.54,52.45,8.01,118,137,15.8,535,21.52,178.3,2.0,8.281477695167286,113.5,110.89999999999999,14.98,91.64,22.91,4.0,751.31,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000084,A003,2026-02-22,7,43,easy_run,6.77,55.6,8.21,115,136,20.5,458,6.77,55.6,1.0,8.21,115.0,20.5,6.77,72.19,18.0475,4.0,592.59,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000085,A003,2026-02-27,8,38,easy_run,5.37,44.82,8.34,105,127,41.1,447,5.37,44.82,1.0,8.34,105.0,41.1,5.37,54.44,13.61,4.0,447.16,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000086,A003,2026-03-05,9,32,easy_run,7.76,66.59,8.58,109,120,17.4,555,7.76,66.59,1.0,8.58,109.0,17.4,7.76,41.42,10.355,4.0,345.31000000000006,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000087,A003,2026-03-09,10,28,easy_run,22.05,178.73,8.11,112,125,160.6,1456,22.05,178.73,1.0,8.11,112.0,160.6,22.05,41.95,10.4875,4.0,345.74,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000088,A003,2026-03-20,11,17,easy_run,19.75,156.06,7.9,115,136,111.3,1464,19.75,156.06,1.0,7.9,115.0,111.3,19.75,54.93000000000001,13.732500000000002,4.0,446.19999999999993,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000089,A003,2026-03-23,12,14,easy_run,24.35,203.58,8.36,125,145,89.8,1789,24.35,203.58,1.0,8.36,125.0,89.8,24.35,73.91,18.4775,4.0,604.96,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000090,A003,2026-04-04,13,2,easy_run,10.18,83.84,8.23,115,124,139.7,712,10.18,83.84,1.0,8.23,115.0,139.7,10.18,76.33,19.0825,4.0,622.2099999999999,beginner,minor_injury,M,43,172,synthetic_v1,71.59,4295.0,01:11:35,7.16
ACT000091,A004,2026-01-07,1,89,easy_run,19.26,115.29,5.99,135,153,306.1,1363,28.720000000000002,173.41,2.0,6.0394080779944295,129.0,352.5,19.26,28.720000000000002,28.720000000000002,1.0,173.41,recreational,progressive_build,M,36,180,synthetic_v1,52.31,3138.0,00:52:18,5.23
ACT000092,A004,2026-01-11,1,85,easy_run,9.46,58.12,6.14,123,140,46.4,779,28.720000000000002,173.41,2.0,6.0394080779944295,129.0,352.5,19.26,28.720000000000002,28.720000000000002,1.0,173.41,recreational,progressive_build,M,36,180,synthetic_v1,52.31,3138.0,00:52:18,5.23
