athlete_id,athlete_profile,training_scenario,sex,age,estimated_max_hr,total_3month_km,total_3month_duration_min,total_runs,avg_training_pace_min_per_km,avg_heart_rate,max_heart_rate_observed,total_elevation_gain_m,longest_run_km,last_4w_km,avg_weekly_km_last_4w,active_weeks_last_4w,avg_weekly_runs_last_4w,base_weekly_km_plan,typical_runs_per_week_plan,base_10k_race_pace_min_per_km,consistency_trait,hr_efficiency_factor,race_10k_pace_min_per_km,race_10k_finish_time_min,race_10k_finish_time_seconds,race_10k_finish_time_hhmmss
A011,advanced,consistent,F,24,186,853.36,3545.44,74,4.153786678541295,141.72972972972974,186,7000.6,36.01,236.09,59.0225,4,6.0,67.2,6,3.6,0.767,0.978,3.52,35.21,2113.0,00:35:13
A012,recreational,minor_injury,F,50,176,308.57,1892.66,25,6.1342612697281,127.56,171,2127.3,32.79,98.06,24.515,4,2.0,29.7,2,5.52,0.811,0.983,5.65,56.51,3390.0,00:56:30
A013,recreational,minor_injury,F,40,172,244.55,1557.34,30,6.367824984665713,124.53333333333333,172,1297.9,21.05,74.73,18.6825,4,2.75,22.9,3,5.61,0.907,0.991,5.83,58.27,3496.0,00:58:16
A014,recreational,progressive_build,M,35,187,446.54,2765.59,38,6.193017422851257,139.39473684210526,183,2994.6,25.33,176.95,44.2375,4,3.5,34.8,3,5.46,0.842,0.993,5.28,52.76,3166.0,00:52:46
A015,intermediate,consistent,F,27,195,573.91,2692.84,63,4.692432262898364,132.03174603174602,179,4454.1,25.19,164.13,41.0325,4,5.0,46.6,5,4.21,0.746,0.909,4.05,40.5,2430.0,00:40:30
A016,advanced,progressive_build,M,35,199,800.45,3622.77,70,4.526219126741209,146.81428571428572,199,7522.0,29.37,283.89,70.9725,4,6.0,64.9,6,4.04,0.98,0.952,3.91,39.06,2344.0,00:39:04
A017,advanced,progressive_build,M,43,169,756.41,3468.2400000000002,64,4.584443357438427,126.09375,168,6478.2,28.55,301.83,75.4575,4,5.75,61.4,5,4.15,0.77,0.966,4.13,41.26,2476.0,00:41:16
A018,intermediate,consistent,F,35,181,483.09,2470.33,36,5.1136185803887475,139.47222222222223,181,3101.6,32.62,143.92,35.98,4,2.5,38.1,3,4.66,0.933,1.027,4.59,45.86,2752.0,00:45:52
A019,elite,consistent,F,19,197,1463.7,5612.88,75,3.834232629637221,155.13333333333333,197,12664.0,57.4,498.15999999999997,124.53999999999999,4,6.0,110.1,6,3.39,0.847,1.0,3.24,32.44,1947.0,00:32:27
A020,recreational,consistent,M,42,174,420.83,2397.7,38,5.697561485635529,142.76315789473685,174,3496.2999999999997,24.04,125.10999999999999,31.277499999999996,4,2.5,35.3,3,5.14,0.821,1.095,5.03,50.34,3020.0,00:50:20
A021,advanced,inconsistent,M,31,175,880.21,3811.92,60,4.329898660546915,150.4,175,6652.4,30.86,250.19,62.5475,4,4.5,80.5,5,3.93,0.828,1.122,4.02,40.16,2410.0,00:40:10
A022,beginner,inconsistent,M,47,166,171.34,1251.31,32,7.3023065250379355,115.78125,145,1521.2,12.43,47.29,11.8225,4,2.25,14.5,3,6.06,0.685,0.974,6.12,61.16,3670.0,01:01:10
A023,recreational,inconsistent,F,42,172,315.14,1902.36,20,6.037101922954876,120.1,144,2780.8,38.21,101.22,25.305,4,1.75,31.7,2,5.26,0.98,0.949,5.29,52.94,3176.0,00:52:56
A024,recreational,minor_injury,M,55,178,375.42,2380.29,24,6.340267966544136,132.66666666666666,173,2472.1,39.84,119.33,29.8325,4,2.25,36.7,2,5.29,0.796,1.033,5.47,54.69,3281.0,00:54:41
A025,beginner,inconsistent,M,48,169,149.60999999999999,1080.1299999999999,16,7.219606309738656,118.5625,154,937.3,17.08,39.45,9.8625,4,1.0,12.8,1,6.17,0.922,0.987,6.24,62.4,3744.0,01:02:24
A026,beginner,progressive_build,F,32,189,259.01,2017.1999999999998,26,7.78659047913208,127.88461538461539,177,1834.0,19.12,99.25999999999999,24.814999999999998,4,2.75,20.4,2,6.91,0.98,0.919,6.77,67.73,4064.0,01:07:44
A027,recreational,progressive_build,M,58,166,277.93,1872.01,41,6.734416579714317,128.82926829268294,166,2169.9,14.9,103.42,25.855,4,3.25,21.7,3,5.67,0.867,1.051,5.53,55.35,3321.0,00:55:21
A028,intermediate,inconsistent,M,43,190,576.12,2819.93,43,4.895691175449558,141.11627906976744,190,5196.7,30.73,156.19,39.0475,4,2.75,57.9,4,4.42,0.865,0.979,4.46,44.64,2679.0,00:44:39
A029,advanced,progressive_build,M,25,203,781.33,3209.9,70,4.108614413884019,148.88571428571427,202,7143.1,30.25,281.74,70.435,4,6.0,61.7,6,3.64,0.939,0.934,3.48,34.8,2088.0,00:34:48
A030,intermediate,consistent,M,20,194,522.88,2451.74,38,4.688995180538555,139.3684210526316,188,5068.0,26.51,161.74,40.435,4,2.75,41.8,3,4.23,0.827,0.968,4.27,42.73,2564.0,00:42:44
A031,beginner,inconsistent,M,33,188,118.91,981.0699999999999,15,8.249339836851398,131.06666666666666,157,792.9,12.73,41.0,10.25,4,1.5,11.7,1,6.96,0.912,0.951,7.04,70.44,4226.0,01:10:26
A032,advanced,minor_injury,M,24,192,728.13,3391.88,55,4.65863348577864,156.03636363636363,192,6942.8,37.73,248.51,62.1275,4,4.75,69.1,5,4.16,0.784,1.035,4.31,43.15,2589.0,00:43:09
A033,advanced,consistent,M,27,188,902.85,4209.43,66,4.6625150357202205,163.9848484848485,188,7600.7,48.39,293.42,73.355,4,5.5,67.9,5,4.2,0.848,1.123,3.94,39.41,2365.0,00:39:25
A034,beginner,inconsistent,F,29,186,143.55,1220.53,16,8.504601184256359,134.9375,176,941.2,18.89,43.35,10.8375,4,1.25,15.4,1,7.32,0.823,0.994,7.33,73.31,4398.0,01:13:18
A035,recreational,progressive_build,M,51,175,434.29,2950.6,38,6.793596905293699,133.6578947368421,175,4908.9,23.28,165.96,41.49,4,3.5,35.3,3,5.97,0.89,1.042,5.81,58.12,3487.0,00:58:07
A036,advanced,consistent,M,42,176,843.75,3464.26,66,4.105147496296295,144.84848484848484,176,6557.7,30.22,256.08000000000004,64.02000000000001,4,5.0,67.9,5,3.56,0.803,1.074,3.45,34.5,2070.0,00:34:30
A037,recreational,inconsistent,M,45,175,337.84,2209.74,37,6.540665995737627,119.54054054054055,165,2655.7,16.97,111.05,27.7625,4,3.0,33.8,3,5.61,0.892,0.924,5.63,56.27,3376.0,00:56:16
A038,intermediate,progressive_build,M,23,185,545.37,2723.4,55,4.994726149219797,131.34545454545454,180,4552.7,20.16,209.18,52.295,4,4.75,37.8,4,4.56,0.863,0.956,4.39,43.91,2635.0,00:43:55
A039,advanced,inconsistent,M,29,181,693.12,3017.19,45,4.352876990997229,140.6,181,8089.5,28.85,216.16,54.04,4,3.25,66.5,4,4.04,0.898,0.999,4.08,40.75,2445.0,00:40:45
A040,beginner,inconsistent,M,36,184,94.15,693.55,12,7.3676526818906005,121.08333333333333,146,796.5,13.03,20.5,5.125,4,1.0,12.4,1,6.04,0.873,0.922,6.08,60.76,3646.0,01:00:46
A041,beginner,late_taper,F,39,180,203.15,1703.46,26,8.387139552055132,131.8846153846154,171,1388.4,21.14,62.57,15.6425,4,1.5,17.1,2,7.36,0.829,1.004,7.29,72.9,4374.0,01:12:54
A042,recreational,progressive_build,F,23,196,423.42,2525.77,42,5.965739691086864,145.14285714285714,196,2741.5,25.01,146.31,36.5775,4,3.75,33.3,3,5.39,0.806,1.008,5.22,52.23,3134.0,00:52:14
A043,recreational,consistent,F,35,191,344.36,2212.78,41,6.425248286676734,133.78048780487805,179,2648.4,21.91,110.11,27.5275,4,3.0,25.3,3,5.69,0.852,0.967,5.64,56.36,3382.0,00:56:22
A044,beginner,minor_injury,F,34,184,249.83,1914.93,32,7.66602929992395,132.65625,169,1664.6,16.58,75.32,18.83,4,2.5,21.4,3,6.41,0.684,1.019,6.57,65.72,3943.0,01:05:43
A045,intermediate,progressive_build,M,37,178,481.62,2649.1,59,5.500745816203645,124.50847457627118,173,3968.1,17.92,165.84,41.46,4,5.0,38.0,5,4.89,0.713,0.939,4.61,46.12,2767.0,00:46:07
A046,advanced,inconsistent,F,27,199,557.82,2268.77,37,4.067684557742641,142.9189189189189,188,4932.6,30.08,218.16,54.54,4,3.5,60.5,4,3.72,0.839,0.944,3.71,37.14,2229.0,00:37:09
A047,intermediate,inconsistent,M,29,183,460.14,2497.57,53,5.427767635936889,142.1320754716981,183,3234.7,20.03,151.68,37.92,4,4.5,40.5,5,4.99,0.975,1.019,5.15,51.5,3090.0,00:51:30
A048,beginner,late_taper,F,33,182,251.52,1692.4099999999999,14,6.7285873886768455,128.5,156,1902.3,24.21,77.06,19.265,4,1.0,20.7,1,6.04,0.76,0.997,5.99,59.92,3595.0,00:59:55
A049,intermediate,consistent,M,34,185,655.03,3423.04,53,5.22571057814146,128.9245283018868,185,6036.5,25.82,209.45,52.3625,4,4.75,50.4,4,4.39,0.72,0.932,4.26,42.55,2553.0,00:42:33
A050,beginner,consistent,F,36,184,127.62,983.03,35,7.702332706472339,136.0,184,750.8,7.39,39.65,9.9125,4,2.5,10.2,3,6.7,0.908,1.028,6.7,66.98,4019.0,01:06:59
A051,beginner,consistent,F,50,173,139.84,994.19,27,7.109193363844393,132.40740740740742,169,1157.0,11.44,43.04,10.76,4,2.25,11.1,2,6.32,0.766,1.096,6.35,63.48,3809.0,01:03:29
A052,recreational,inconsistent,F,49,177,282.83,1559.04,28,5.511983523671463,127.03571428571429,169,2043.7,21.85,100.9,25.225,4,2.5,24.2,2,5.01,0.844,0.951,4.96,49.62,2977.0,00:49:37
A053,intermediate,consistent,M,24,202,686.8,3488.64,40,5.080429673849737,162.875,202,5493.1,39.66,209.74,52.435,4,3.5,54.1,3,4.51,0.737,1.052,4.33,43.26,2595.0,00:43:15
A054,advanced,inconsistent,M,43,184,746.81,2910.67,57,3.897366264511723,136.42105263157896,184,6755.8,32.66,232.02999999999997,58.00749999999999,4,5.25,73.9,6,3.61,0.675,0.947,3.66,36.61,2196.0,00:36:36
A055,recreational,progressive_build,F,49,185,264.75,1697.27,28,6.410996789423984,135.03571428571428,173,2181.6,20.51,99.75,24.9375,4,2.5,20.8,2,5.76,0.98,0.98,5.7,57.05,3423.0,00:57:03
A056,advanced,consistent,M,38,177,807.66,3517.05,75,4.355037144342917,134.28,177,8903.6,27.02,265.19000000000005,66.29750000000001,4,6.0,62.7,6,3.77,0.849,0.978,3.64,36.45,2187.0,00:36:27
A057,intermediate,consistent,F,38,172,677.51,3282.3,60,4.844540301988162,129.0,169,5490.9,31.24,244.13,61.0325,4,4.5,49.8,5,4.31,0.608,1.006,4.15,41.47,2488.0,00:41:28
A058,recreational,inconsistent,F,45,173,309.5,1923.72,20,6.214646526655895,130.75,173,3150.7,31.94,110.02000000000001,27.505000000000003,4,1.75,28.9,2,5.6,0.802,1.016,5.65,56.47,3388.0,00:56:28
A059,advanced,progressive_build,M,31,188,916.73,4079.26,71,4.450422807151507,154.01408450704224,188,9625.6,38.15,330.96,82.74,4,6.0,71.8,6,3.98,0.767,1.054,3.8,37.99,2279.0,00:37:59
A060,elite,consistent,M,34,191,1405.48,5346.85,87,3.8035037851837092,146.39080459770116,191,13823.3,46.53,442.71999999999997,110.67999999999999,4,6.75,111.7,7,3.52,0.722,0.968,3.42,34.21,2052.0,00:34:12
A061,advanced,progressive_build,M,25,176,962.6,4501.85,72,4.675649698732599,133.44444444444446,176,7268.6,32.57,334.16,83.54,4,6.0,78.4,6,4.14,0.601,0.969,4.08,40.77,2446.0,00:40:46
A062,beginner,inconsistent,F,40,175,103.75,837.17,25,8.068417349397592,128.76,160,731.6,9.23,39.160000000000004,9.790000000000001,4,2.25,12.2,3,7.12,0.849,1.026,7.28,72.76,4366.0,01:12:46
A063,recreational,consistent,M,40,185,277.61,1754.22,31,6.319734159432298,137.48387096774192,175,1715.8,23.95,95.53999999999999,23.884999999999998,4,2.25,22.9,3,5.54,0.813,0.981,5.37,53.72,3223.0,00:53:43
A064,intermediate,progressive_build,M,26,183,471.64,2427.62,60,5.148074166737341,125.25,174,4003.4,17.11,176.37,44.0925,4,5.0,38.4,5,4.71,0.843,0.907,4.58,45.76,2746.0,00:45:46
A065,recreational,progressive_build,F,25,181,397.69,2646.34,25,6.654304357665518,133.24,179,2781.0,33.52,149.4,37.35,4,1.75,30.8,2,5.82,0.707,1.021,5.67,56.68,3401.0,00:56:41
A066,intermediate,inconsistent,M,46,171,459.68,2375.48,52,5.167292464323008,125.78846153846153,171,4554.3,24.6,186.04,46.51,4,5.0,41.0,5,4.51,0.908,0.989,4.39,43.92,2635.0,00:43:55
A067,elite,progressive_build,M,33,179,1301.43,4459.39,83,3.4277738333986454,143.72289156626505,179,11616.8,42.78,506.17999999999995,126.54499999999999,4,7.0,107.0,7,3.12,0.777,1.034,3.01,30.1,1806.0,00:30:06
A068,recreational,inconsistent,F,46,181,237.67,1498.06,29,6.3029620902932635,135.82758620689654,181,1436.0,13.86,93.64,23.41,4,2.75,26.1,3,5.39,0.844,1.044,5.44,54.35,3261.0,00:54:21
A069,intermediate,progressive_build,F,36,188,589.83,2979.7,48,5.052409168743537,125.9375,175,4641.8,27.79,213.64,53.41,4,4.25,47.5,4,4.66,0.98,0.88,4.45,44.46,2668.0,00:44:28
A070,intermediate,consistent,M,43,181,459.07,2212.8,49,4.819895222950748,141.3469387755102,181,4599.9,27.64,162.23000000000002,40.557500000000005,4,3.75,35.6,4,4.3,0.845,1.02,4.17,41.7,2502.0,00:41:42
A071,recreational,minor_injury,M,45,171,283.6,1908.85,18,6.730055007052186,112.72222222222223,141,2080.0,30.96,91.7,22.925,4,1.25,26.5,2,5.82,0.707,0.905,5.94,59.4,3564.0,00:59:24
A072,beginner,progressive_build,M,45,177,122.07,907.45,22,7.434848038010978,125.0,166,1069.0,12.45,47.61,11.9025,4,1.75,9.7,2,6.51,0.776,0.946,6.47,64.68,3881.0,01:04:41
A073,beginner,minor_injury,M,36,187,219.65,1701.68,18,7.746335533803779,133.11111111111111,165,2132.9,23.26,72.28999999999999,18.072499999999998,4,1.25,20.5,1,6.7,0.902,0.998,6.86,68.57,4114.0,01:08:34
A074,intermediate,consistent,M,43,177,734.25,3569.31,60,4.862076949267961,128.63333333333333,177,4978.9,27.9,231.85,57.9625,4,4.75,57.1,5,4.41,0.833,0.956,4.3,43.05,2583.0,00:43:03
A075,beginner,consistent,F,44,176,148.87,1080.79,36,7.2581561093571585,119.55555555555556,151,1079.2,10.21,44.03,11.0075,4,2.75,11.1,3,6.53,0.802,0.969,6.56,65.58,3935.0,01:05:35
A076,beginner,inconsistent,M,44,178,101.64,825.55,29,8.12526072412436,126.10344827586206,163,540.9,8.44,36.65,9.1625,4,2.25,9.1,3,6.79,0.713,0.98,6.9,69.01,4141.0,01:09:01
A077,elite,consistent,M,38,185,1259.5,4536.5599999999995,84,3.603450734418419,155.0952380952381,185,10657.7,49.82,391.39,97.8475,4,6.5,104.8,7,3.23,0.902,1.076,3.08,30.81,1849.0,00:30:49
A078,recreational,progressive_build,F,49,183,317.47,1924.94,48,6.062842158314171,122.47916666666667,174,2194.0,17.3,116.84,29.21,4,4.0,25.7,4,5.11,0.917,0.914,5.0,49.98,2999.0,00:49:59
A079,intermediate,progressive_build,F,47,161,447.5,2349.47,53,5.250256983240222,136.1509433962264,161,3338.5,26.99,178.97,44.7425,4,4.5,36.3,4,4.67,0.703,1.117,4.58,45.85,2751.0,00:45:51
A080,recreational,consistent,M,44,171,324.81,2140.41,39,6.588930451648657,129.17948717948718,160,2088.8,18.28,97.36,24.34,4,3.25,25.2,3,5.71,0.899,1.025,5.65,56.49,3389.0,00:56:29
A081,advanced,progressive_build,M,29,192,1015.0,4558.81,73,4.492014876847291,158.06849315068493,192,9328.0,37.55,412.18,103.045,4,6.0,80.1,6,4.13,0.749,1.069,3.93,39.28,2357.0,00:39:17
A082,recreational,consistent,F,31,183,268.07,1665.78,43,6.213236841123586,132.48837209302326,179,2119.8,13.79,88.34,22.085,4,3.5,20.1,3,5.41,0.946,0.998,5.34,53.4,3204.0,00:53:24
A083,intermediate,progressive_build,F,26,188,618.52,3175.32,48,5.134853682985191,141.08333333333334,188,4831.8,24.57,215.35000000000002,53.837500000000006,4,4.5,46.2,4,4.75,0.816,0.992,4.65,46.52,2791.0,00:46:31
A084,recreational,consistent,F,42,183,275.90999999999997,1750.09,25,6.343129643724404,133.04,177,1910.6000000000001,23.0,94.27,23.5675,4,1.75,20.6,2,5.77,0.738,0.985,5.67,56.67,3400.0,00:56:40
A085,intermediate,minor_injury,M,40,179,382.51,2150.42,46,5.622133538992443,135.7173913043478,179,4027.2999999999997,21.17,119.73,29.9325,4,3.5,39.4,4,4.9,0.823,1.003,5.13,51.34,3080.0,00:51:20
A086,intermediate,consistent,M,38,182,510.88,2811.25,54,5.503143203883495,135.12962962962962,182,4145.2,23.4,171.64999999999998,42.912499999999994,4,4.25,39.5,4,4.76,0.782,0.996,4.69,46.88,2813.0,00:46:53
A087,beginner,inconsistent,F,30,172,116.76,869.6700000000001,14,7.449634292565948,122.0,154,621.0,15.89,33.37,8.3425,4,1.0,12.0,1,6.26,0.906,0.987,6.45,64.54,3873.0,01:04:33
A088,recreational,consistent,M,41,169,292.19,1836.46,37,6.285777062870051,135.64864864864865,169,2799.5,16.67,94.6,23.65,4,2.75,23.4,3,5.68,0.809,1.075,5.62,56.16,3369.0,00:56:09
A089,intermediate,late_taper,M,45,176,643.1,3439.86,48,5.348633649510186,140.08333333333334,176,4654.1,25.55,188.48,47.12,4,3.75,55.8,4,4.63,0.844,1.065,4.64,46.38,2783.0,00:46:23
A090,beginner,progressive_build,F,36,195,146.55,1121.9,16,7.655233026270897,144.9375,174,1175.8,15.63,56.29,14.0725,4,1.25,11.3,1,6.41,0.792,1.018,6.31,63.14,3788.0,01:03:08
A091,beginner,minor_injury,F,54,170,186.46,1482.6,15,7.950865064893274,114.46666666666667,141,1294.4,21.0,61.230000000000004,15.307500000000001,4,1.25,16.9,1,7.17,0.98,0.917,7.32,73.19,4391.0,01:13:11
A092,beginner,minor_injury,F,25,185,115.95,911.06,24,7.857336783096162,134.625,165,787.3,11.6,35.75,8.9375,4,1.5,11.7,2,6.98,0.98,1.023,7.26,72.64,4358.0,01:12:38
A093,recreational,consistent,F,51,171,346.09,2122.19,33,6.132611748389149,120.15151515151516,163,2685.7,25.13,108.13,27.0325,4,2.5,27.2,3,5.14,0.647,0.958,4.96,49.62,2977.0,00:49:37
A094,beginner,consistent,M,48,172,238.94,1768.69,16,7.401985435674228,118.1875,141,1202.8,21.22,79.02000000000001,19.755000000000003,4,1.5,19.8,1,6.34,0.955,0.948,6.15,61.54,3692.0,01:01:32
A095,advanced,progressive_build,M,45,172,852.03,3758.22,65,4.411572010375222,145.92307692307693,172,6906.2,28.85,321.98,80.495,4,5.75,62.5,5,3.86,0.98,1.089,3.67,36.68,2201.0,00:36:41
A096,intermediate,consistent,F,33,181,693.09,3476.85,48,5.016046112337504,140.33333333333334,181,4802.0,43.45,221.84,55.46,4,3.5,53.7,4,4.52,0.848,1.036,4.35,43.53,2612.0,00:43:32
A097,recreational,consistent,M,49,175,261.52,1682.86,27,6.436041220556744,131.03703703703704,175,2037.7,19.0,76.67,19.1675,4,2.0,20.7,2,5.57,0.98,1.016,5.47,54.72,3283.0,00:54:43
A098,intermediate,progressive_build,M,43,173,456.96999999999997,2398.9,59,5.249652274766396,145.23728813559322,173,4985.1,15.36,160.51999999999998,40.129999999999995,4,5.0,37.2,5,4.56,0.63,1.09,4.49,44.89,2693.0,00:44:53
A099,recreational,progressive_build,M,46,186,304.04,2026.74,40,6.664936521510328,140.375,186,2499.4,13.14,111.23,27.8075,4,3.25,24.6,3,5.84,0.726,1.025,5.76,57.58,3455.0,00:57:35
A100,beginner,progressive_build,F,49,170,200.91,1584.56,23,7.887862724603056,117.69565217391305,161,1206.3,15.15,72.75,18.1875,4,2.25,15.0,2,7.18,0.636,0.96,7.04,70.4,4224.0,01:10:24
